#          source         l            b           l*          b*         D*         NHI      NKI    V_CNM    V_KI   Delta_V
                          [deg]       [deg]       [deg]       [deg]     [pc]  [1e20 cm-2][1e10 cm-2] [km/s]   [km/s] [km/s]
---------------------------------------------------------------------------------------------------------------------------    
135 	J044306-763013 	 289.19 	 -33.62 	 288.79 	 -33.61 	 742.30 	 7.0 	 19.9 	 4.02 	 5.51 	 -1.49
136 	J044346-761015 	 288.81 	 -33.73 	 289.27 	 -33.48 	 1446.80 	 6.6 	 20.1 	 4.30 	 6.54 	 -2.24
137 	J044415-684211 	 280.34 	 -36.52 	 280.55 	 -36.41 	 837.50 	 5.7 	 55.6 	 0.94 	 1.49 	 -0.55
138 	J044517-701428 	 282.09 	 -35.91 	 281.67 	 -36.04 	 783.20 	 9.2 	 39.5 	 2.78 	 4.36 	 -1.58
139 	J044610-720509 	 284.18 	 -35.18 	 283.92 	 -35.55 	 1375.20 	 11.5 	 18.9 	 5.04 	 4.84 	 0.20
140 	J044611-720510 	 284.18 	 -35.18 	 283.92 	 -35.55 	 1375.20 	 9.8 	 18.9 	 3.02 	 4.84 	 -1.82
141 	J044612-720512 	 284.18 	 -35.18 	 283.92 	 -35.55 	 1375.20 	 11.2 	 18.9 	 2.35 	 4.84 	 -2.49
142 	J044746-704843 	 282.66 	 -35.52 	 283.22 	 -35.42 	 885.40 	 7.7 	 35.6 	 2.95 	 4.83 	 -1.88
143 	J044809-703144 	 282.32 	 -35.58 	 282.04 	 -35.99 	 947.10 	 9.2 	 35.4 	 5.20 	 5.84 	 -0.64
144 	J044848-741731 	 286.58 	 -34.18 	 286.27 	 -33.82 	 504.80 	 6.0 	 20.2 	 5.69 	 6.02 	 -0.33
145 	J044902-705155 	 282.68 	 -35.40 	 283.22 	 -35.42 	 885.40 	 8.3 	 35.6 	 3.55 	 4.83 	 -1.28
146 	J044902-705148 	 282.68 	 -35.40 	 283.22 	 -35.42 	 885.40 	 8.4 	 35.6 	 3.39 	 4.83 	 -1.44
147 	J044902-705208 	 282.68 	 -35.40 	 283.22 	 -35.42 	 885.40 	 8.3 	 35.6 	 3.37 	 4.83 	 -1.46
148 	J044903-705216 	 282.69 	 -35.40 	 283.22 	 -35.42 	 885.40 	 8.4 	 35.6 	 3.42 	 4.83 	 -1.41
149 	J044928-692630 	 281.01 	 -35.84 	 281.40 	 -36.01 	 848.70 	 8.1 	 43.2 	 3.44 	 3.14 	 0.30
150 	J044948-694013 	 281.27 	 -35.74 	 281.67 	 -36.04 	 783.20 	 7.9 	 39.5 	 3.76 	 4.36 	 -0.60
151 	J044953-732749 	 285.62 	 -34.42 	 285.23 	 -34.45 	 741.80 	 7.5 	 44.8 	 2.80 	 3.39 	 -0.59
152 	J045113-693200 	 281.06 	 -35.67 	 281.28 	 -36.09 	 821.40 	 7.2 	 37.5 	 3.00 	 2.97 	 0.03
153 	J045114-693152 	 281.06 	 -35.66 	 281.28 	 -36.09 	 821.40 	 7.1 	 37.5 	 2.91 	 2.97 	 -0.06
154 	J045114-693123 	 281.05 	 -35.67 	 281.28 	 -36.09 	 821.40 	 7.4 	 37.5 	 2.81 	 2.97 	 -0.16
155 	J045122-722110 	 284.31 	 -34.71 	 283.82 	 -34.82 	 1076.10 	 8.9 	 18.6 	 1.46 	 0.84 	 0.62
156 	J045152-692332 	 280.87 	 -35.66 	 281.22 	 -35.92 	 540.50 	 7.6 	 36.9 	 4.05 	 4.78 	 -0.73
157 	J045153-692328 	 280.87 	 -35.65 	 280.87 	 -35.95 	 2483.20 	 7.5 	 20.9 	 3.77 	 4.43 	 -0.66
158 	J045157-760518 	 288.49 	 -33.31 	 288.79 	 -33.61 	 742.30 	 7.0 	 19.9 	 4.28 	 5.51 	 -1.23
159 	J045338-702807 	 282.07 	 -35.17 	 281.93 	 -35.55 	 734.00 	 7.0 	 28.6 	 2.70 	 1.28 	 1.42
160 	J045354-692131 	 280.77 	 -35.50 	 280.87 	 -35.95 	 2483.20 	 6.4 	 20.9 	 2.39 	 4.43 	 -2.04
161 	J045403-691154 	 280.57 	 -35.53 	 281.16 	 -35.62 	 1919.20 	 7.3 	 24.7 	 6.60 	 7.20 	 -0.60
162 	J045438-751726 	 287.53 	 -33.46 	 287.69 	 -33.01 	 1291.20 	 8.2 	 17.7 	 4.98 	 6.50 	 -1.52
163 	J045541-690629 	 280.41 	 -35.42 	 280.38 	 -35.63 	 1694.80 	 6.3 	 18.1 	 3.76 	 4.11 	 -0.35
164 	J045545-694830 	 281.23 	 -35.21 	 281.12 	 -35.70 	 696.00 	 6.8 	 18.8 	 4.14 	 4.98 	 -0.84
165 	J045551-690210 	 280.32 	 -35.43 	 280.38 	 -35.63 	 1694.80 	 6.3 	 18.1 	 4.43 	 4.11 	 0.32
166 	J045608-701434 	 281.73 	 -35.04 	 281.85 	 -35.48 	 912.50 	 5.8 	 17.1 	 7.84 	 6.77 	 1.07
167 	J045613-761757 	 288.60 	 -33.00 	 288.41 	 -33.01 	 568.70 	 7.7 	 23.5 	 4.64 	 5.89 	 -1.25
168 	J045633-730709 	 285.02 	 -34.09 	 285.23 	 -34.45 	 741.80 	 8.9 	 44.8 	 -0.59 	 3.39 	 -3.98
169 	J045730-731750 	 285.20 	 -33.97 	 285.23 	 -34.45 	 741.80 	 8.3 	 44.8 	 4.54 	 3.39 	 1.15
170 	J045730-750644 	 287.25 	 -33.35 	 287.66 	 -33.56 	 1100.50 	 6.2 	 17.6 	 4.71 	 7.49 	 -2.78
171 	J045735-750700 	 287.25 	 -33.34 	 287.69 	 -33.01 	 1291.20 	 5.9 	 17.7 	 4.95 	 6.50 	 -1.55
172 	J045746-691937 	 280.61 	 -35.18 	 280.67 	 -35.22 	 841.30 	 6.7 	 21.6 	 8.68 	 10.23 	 -1.55
173 	J045747-691928 	 280.60 	 -35.18 	 280.73 	 -35.10 	 568.70 	 7.1 	 24.7 	 9.15 	 10.28 	 -1.13
174 	J045856-754649 	 287.96 	 -33.03 	 288.41 	 -33.01 	 568.70 	 7.6 	 23.5 	 4.74 	 5.89 	 -1.15
175 	J050036-720626 	 283.75 	 -34.13 	 284.25 	 -33.91 	 578.30 	 6.1 	 56.8 	 2.82 	 3.09 	 -0.27
176 	J050200-693150 	 280.72 	 -34.77 	 280.67 	 -35.22 	 841.30 	 7.3 	 21.6 	 9.87 	 10.23 	 -0.36
177 	J050200-693158 	 280.72 	 -34.76 	 280.67 	 -35.22 	 841.30 	 7.3 	 21.6 	 9.92 	 10.23 	 -0.31
178 	J050201-693151 	 280.72 	 -34.76 	 280.67 	 -35.22 	 841.30 	 7.0 	 21.6 	 9.93 	 10.23 	 -0.30
179 	J050202-693154 	 280.72 	 -34.76 	 280.67 	 -35.22 	 841.30 	 7.2 	 21.6 	 9.90 	 10.23 	 -0.33
180 	J050325-725841 	 284.67 	 -33.66 	 284.23 	 -33.67 	 935.20 	 8.1 	 31.1 	 4.62 	 4.71 	 -0.09
181 	J050907-733303 	 285.18 	 -33.10 	 285.08 	 -33.40 	 752.00 	 8.2 	 23.3 	 7.71 	 8.39 	 -0.68
182 	J051157-733244 	 285.11 	 -32.91 	 285.08 	 -33.40 	 752.00 	 8.5 	 23.3 	 7.66 	 8.39 	 -0.73
183 	J051247-751332 	 287.00 	 -32.38 	 286.92 	 -32.04 	 1033.30 	 6.4 	 20.5 	 6.56 	 5.10 	 1.46
184 	J051446-744126 	 286.35 	 -32.41 	 285.87 	 -32.14 	 1456.20 	 7.5 	 54.6 	 5.95 	 5.43 	 0.52
