src_id,src_name,src_glon,src_glat,nhi,sig_nhi,nhi_thin,star_id,r_med,ew_ki_ism,amp_ki_ism,res_max_ki_ism,ki_ism_vlsr_obs,ki_ism_avg_vlsr_obs,ki_ism_sig_vlsr_obs,emt_min_vlsr,vlsr_hi_ki_diff,vlsr_diff_min,n_nearby_stars
10,J003749-735127,304.22951517694594,-43.23643438568215,3.146253324952727,0.1927408755821971,2.866925544089895,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
11,J003824-742211,304.1259054058585,-42.72821417943667,2.866124664502426,0.2106262766182184,2.8496404772926818,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
12,J003939-714141,304.2482490563259,-45.40335606279209,3.040601488248469,0.3037570733510806,2.877023171830529,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
13,J004048-714600,304.1151611034277,-45.337318551206025,2.982019931057608,0.8227990974356053,2.6795193479222807,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
14,J004222-754838,303.6708289881266,-41.30466731927757,4.393593715210194,0.1826298073287534,4.296436963935909,140814006001141,668.953369140625,0.0581411719322204,0.0649961036111486,0.1062739781038168,9.394238139961196,9.394238139961196,5.0,9.9455100640233,0.5512719240621049,0.5512719240621049,1
15,J004330-704147,303.881909521917,-46.417060470492814,2.259701123150408,0.4844103683682769,2.133404606222108,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
16,J004741-753010,303.24620369143616,-41.623018167183794,3.658516403164713,0.5773688068343835,3.670526573581962,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
17,J004957-723554,303.0877408301689,-44.52941466073938,3.5086411304130896,0.2920393743414307,3.497579309001771,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
18,J005019-755629,303.0223721904818,-41.18638830642894,4.513669740629228,0.2122912735311813,4.180979868897665,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
19,J005219-722705,302.8388075059046,-44.6766753810812,3.3305007230692247,0.3675857089594061,3.333378176311004,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
